"","timestamp","play_id","next_timestamp","at_bat","event_code","player_position","ordered_id","next_event_code","next_player_position","next_id","field_x","field_y","field_z","next_field_x","next_field_y","next_field_z","next_frame_timestamp1","next_frame_field_x","next_frame_field_y","next_frame_field_z","pitcher","catcher","first_base","second_base","third_base","shortstop","left_field","center_field","right_field","batter","first_baserunner","second_baserunner","third_baserunner","next_pitcher","next_catcher","next_first_base","next_second_base","next_third_base","next_shortstop","next_left_field","next_center_field","next_right_field","next_batter","next_first_baserunner","next_second_baserunner","next_third_baserunner","batter_field_x_throw","batter_field_y_throw","batter_field_x_catch","batter_field_y_catch","batter_field_x_next_frame","batter_field_y_next_frame","game_id","x_change","y_change","z_change","time_change","frame_hypotenuse","z_angle","throw_velocity_2d","z_velocity","throw_angle_radians","throw_angle_degrees","throw_slope","first_base_arrival","ideal_throw_length","z_at_arrival","runner_reached_first","runner_reached_second","runner_reached_third","batter_x_change","batter_y_change","runner_reached_base","optimal_x_change","optimal_y_change","optimal_z_change","optimal_throw_angle_radians","optimal_throw_angle_degrees","raw_optimal_residual","optimal_residual","predicted_outs"
"1",1312234,38,"1312984",9,3,"4",4,"2","3","5",27.72942,109.7928,3.53229,60.5724,66.6978,5.03322,1312984,60.5724,66.6978,5.03322,9595,7764,6222,7208,7815,6549,5195,7511,8754,2137,0,2973,0,2974,1389,2480,2255,2137,1181,1600,1177,2973,4278,0,0,0,38.7501,39.8958,53.0052,55.8456,53.0052,55.8456,1,32.84298,-43.095,1.50093,750,54.1833956141584,0.0276938396207991,0.0722445274855445,0.00200124,-0.919591970111234,-52.6887387614943,-1.31215255132147,89.4088719608855,58.5540013570945,-10558.8649954576,0,0,0,14.2551,15.9498,0,33.5225609885932,-44.7377574144487,-0.451745179847909,-0.927735361274576,-53.1553207060779,0.466581944583616,0.466581944583623,0.111018780775481
"2",1779534,54,"1780884",13,3,"5",4,"2","3","5",-54.6936,91.5375,3.62238,63.6327,67.8903,4.19226,1780284,14.28567,78.0678,10.65078,9595,7764,6222,7208,7815,6549,5195,7511,8754,2480,0,0,0,9595,7764,6222,7208,7815,6549,5195,7511,8754,1389,2480,0,0,25.2216,22.959,47.2821,47.145,37.4454,36.1953,1,68.97927,-13.4697,7.0284,750,70.2820923694144,0.0996713398651186,0.0937094564925526,0.0093712,-0.19284502069126,-11.0492057857222,-0.195271709891972,95.6683009068562,124.65198385718,-28432.9479109972,1,0,0,22.0605,24.186,1,115.945580988593,-26.4824574144487,-0.541835179847909,-0.224552235030498,-12.8658953474773,1.81668956175505,1.81668956175506,0.0605031683219016
"3",1837884,56,"1838834",14,3,"6",4,"2","3","5",-15.27615,122.175,5.5599,61.6428,66.3759,3.06,1838634,46.5225,77.5743,5.53227,9595,7764,6222,7208,7815,6549,5195,7511,8754,1389,2480,0,0,9595,7764,6222,7208,7815,6549,5195,7511,8754,1177,0,2480,0,33.3159,33.6111,52.8819,52.9242,48.7287,48.792,1,61.79865,-44.6007,-0.0276300000000003,750,76.2121747643544,-0.000362540484836044,0.101616233019139,-0.0000368400000000004,-0.625148286252041,-35.8183583720782,-0.721709940265685,91.298717325462,98.454088914655,-15091.1751238801,0,0,0,19.566,19.3131,0,76.5281309885931,-57.1199574144487,-2.47935517984791,-0.641187757599815,-36.7373523859267,0.918994013848454,0.918994013848447,0.104146985328155
"4",1881284,57,"1882284",15,3,"6",4,"2","3","5",-23.60397,122.2614,4.77615,60.8958,66.171,2.623902,1882034,41.2134,79.6695,5.60427,9595,7764,6222,7208,7815,6549,5195,7511,8754,1177,0,2480,0,9595,7764,6222,7208,7815,6549,5195,7511,8754,1177,0,2480,0,30.051,33.8043,47.9769,49.8591,43.689,45.4692,1,64.81737,-42.5919,0.828119999999999,750,77.5587609450209,0.0106769180174548,0.103411681260028,0.00110416,-0.581354628282855,-33.3091666010044,-0.657106266422102,91.1038917673365,105.327383399841,-16676.1120518479,0,0,0,17.9259,16.0548,0,84.8559509885932,-57.2063574144487,-1.69560517984791,-0.59317131282086,-33.9862127528696,0.677046151865163,0.67704615186517,0.084391832335378
"5",196934,9,"197734",3,3,"4",4,"2","3","5",62.1096,124.2252,4.16964,62.268,66.1173,4.78017,197684,62.3565,69.5733,5.31471,2974,1389,2480,2255,2137,1181,1600,1177,2973,6222,0,0,0,9595,7764,6222,7208,7815,6549,5195,7511,8754,1181,0,0,0,33.8244,34.2075,47.6577,48.24,46.7931,47.3631,1,0.246899999999997,-54.6519,1.14507,750,54.6524577052121,0.020948783237494,0.0728699436069495,0.00152676,-1.56627867378884,-89.7411575494486,-221.35236938032,88.2313085538655,61.8368744277448,-11575.2474729984,0,0,0,13.8333,14.0325,0,-0.857619011406847,-59.1701574144487,-1.08909517984791,-1.5852894260266,-90.8303934180407,1.08923586859206,1.08923586859206,0.0650373818805532
"6",2705634,80,"2706434",22,3,"4",4,"2","3","5",-1.72974,102.0471,4.62393,58.239,66.7158,-0.412368,2706384,54.8142,68.9427,0.541389,9595,7764,6222,7208,7815,6549,5195,7511,8754,1600,0,0,0,2974,1389,2480,2255,2137,1181,1600,1177,2973,7511,0,0,0,47.7363,48.0483,63.417,65.3652,62.4372,64.2828,1,56.54394,-33.1044,-4.082541,750,65.5218929067499,-0.0622275988335558,0.0873625238756665,-0.005443388,-0.529662150658709,-30.3474058005664,-0.585463269803979,90.1214317275944,75.8480859398057,-12122.4094719605,0,0,0,15.6807,17.3169,0,62.9817209885932,-36.9920574144487,-1.54338517984791,-0.531063073781484,-30.4276727829237,0.0802669823572941,0.0802669823573012,0.22373935377982
"7",3613070,102,"3613920",31,3,"6",4,"2","3","5",58.9119,123.3774,5.12898,62.1891,68.2764,5.47629,3613820,61.968,74.4012,6.61026,9595,7764,6222,7208,7815,6549,5195,7511,8754,1389,2480,0,0,9595,7764,6222,7208,7815,6549,5195,7511,8754,1177,1389,0,2480,31.4283,32.6715,46.9101,48.3933,45.0315,46.4529,1,3.0561,-48.9762,1.48128,750,49.0714572195487,0.0301770196529621,0.0654286096260649,0.00197504,-1.50847743095633,-86.4293902845347,-16.0257190536959,88.6687294966128,60.7971591758738,-13878.8814338973,1,0,0,15.4818,15.7218,1,2.34008098859315,-58.3223574144487,-2.04843517984791,-1.53069461350036,-87.7023410769794,1.27295079244473,1.27295079244473,0.0559289989853465
"8",3641120,103,"3642220",32,3,"6",4,"2","3","5",-21.6228,146.5263,4.77765,58.6839,65.5344,1.890621,3641870,36.1161,90.5529,6.69312,9595,7764,6222,7208,7815,6549,5195,7511,8754,1177,1389,0,2480,2974,1389,2480,2255,2137,1181,1600,1177,2973,5195,0,0,0,30.1422,30.5007,52.2984,52.8474,44.9967,45.7437,1,57.7389,-55.9734,1.91547,750,80.4164291719671,0.0238148831933748,0.107221905562623,0.00255396,-0.769873385882562,-44.1104957705174,-0.969422694232138,90.1661464041624,118.913698786147,-19770.3890933965,0,0,0,22.1562,22.3467,0,82.8747809885932,-81.4712574144487,-1.69710517984791,-0.776858319854763,-44.5107030073021,0.400207236784652,0.400207236784638,0.0978886927319571
"9",4683218,129,"4684068",40,3,"6",4,"2","3","5",-11.12886,114.1245,4.48086,59.0283,62.7474,0.1736616,4683968,51.4728,68.6655,1.982016,9595,7764,6222,7208,7815,6549,5195,7511,8754,1600,0,1181,0,2974,1389,2480,2255,2137,1181,1600,1177,2973,7764,0,0,0,36.1605,35.2377,52.3413,53.2923,50.4027,51.1452,1,62.60166,-45.459,-2.498844,750,77.3659389896846,-0.032287795153077,0.103154585319579,-0.003331792,-0.628069985037702,-35.9857593815051,-0.726162852550555,86.8791956004467,89.6750381499891,-12152.0707542527,0,0,0,16.1808,18.0546,0,72.3808409885931,-49.0694574144487,-1.40031517984791,-0.595762784957257,-34.1346931690109,-1.85106621249424,1.85106621249423,0.117833767681122
"10",55984,2,"56784",1,3,"4",4,"2","3","5",30.9363,138.7293,3.6516,60.0951,65.7414,3.48654,56734,58.5345,70.0959,4.05768,2974,1389,2480,2255,2137,1181,1600,1177,2973,7511,0,0,0,2974,1389,2480,2255,2137,1181,1600,1177,2973,7208,0,0,0,40.2915,37.9485,54.8064,55.8738,53.8125,54.9183,1,27.5982,-68.6334,0.40608,750,73.9743485189292,0.00548941530715766,0.0986324646919056,0.00054144,-1.18847201359152,-68.0944304482086,-2.48687957910298,87.4693727671076,82.8617309688391,-11345.7058353691,0,0,0,14.5149,17.9253,0,30.3156809885932,-73.6742574144487,-0.571055179847909,-1.18043044634313,-67.6336825842054,-0.460747864003153,0.460747864003167,0.141323016286768
